passive_sentence,active_sentence,passive_x_coord,passive_y_coord,active_x_coord,active_y_coord
In cases of dispute the matter shall be resolved by the judgement of the twenty-five barons referred to below in the clause for securing the peace.,In cases of dispute the judgement of the twenty - five barons referred to below in the clause for securing the peace shall resolve the matter . ,0.4295487808020268,0.19271652809947026,0.4340433805869016,0.12813240157479788
A dispute on this point shall be determined in the Marches by the judgement of equals.,the judgement of equals shall determine in the Marches A dispute on this point . ,-0.4438451670978469,-0.08848766134414247,-0.39983629799199083,0.12125799115087213
This matter shall be resolved by the judgement of his equals in our court.,the judgement of his equals in our court shall resolve This matter . ,-0.10789534989054622,0.08013654263956245,-0.04289228113339527,0.10106119377169194
"If any freeman shall die intestate, his chattels shall be distributed by the hands of his nearest kinsfolk and friends, under supervision of the church, saving to every one the debts which the deceased owed to him.","If any freeman shall die intestate , the hands of his nearest kinsfolk and friends shall distribute his chattels , under supervision of the church , saving to every one the debts which the deceased owed to he . ",0.014718446009959063,-0.009818949764545006,0.019611725147158532,0.0010532065597265473
"If any freeman shall die intestate, his chattels shall be distributed by the hands of his nearest kinsfolk and friends, under supervision of the Church, saving to every one the debts which the deceased owed to him.","If any freeman shall die intestate , the hands of his nearest kinsfolk and friends shall distribute his chattels , under supervision of the Church , saving to every one the debts which the deceased owed to he . ",0.014718446009959063,-0.009818949764545006,0.019611725147158532,0.0010532065597265473
 The changes that have taken place in the glacial conditions of the Sierra from the time of greatest extension is well illustrated by the series of glaciers of every size and form extending along the mountains of the coast to Alaska.,  the series of glaciers of every size and form extending along the mountains of the coast to Alaska well illustrate The changes that have taken place in the glacial conditions of the Sierra from the time of greatest extension . ,-0.026542818506546523,0.04910289716510057,-0.03170405552162266,0.031070605997247258
"The upper branches of nearly all the main cañons and fiords are occupied by glaciers, which gradually increase in size, and descend lower until the high region between Mount Fairweather and Mount St. Elias is reached, where a considerable number discharge into the waters of the ocean.","glaciers , which gradually increase in size , and descend lower until the high region between Mount Fairweather and Mount St. Elias is reached , where a considerable number discharge into the waters of the ocean occupy The upper branches of nearly all the main cañons and fiords . ",0.047100611629039446,-0.02988726462956707,0.023320148420506052,-0.012015097768202688
"The fiord is called by the natives “Hutli,” or Thunder Bay, from the noise made by the discharge of the icebergs.","the natives “ Hutli , ” or Thunder Bay , call The fiord from the noise made by the discharge of the icebergs . ",0.05370273240764273,-0.023524982350357975,0.041516049911584696,0.002171552417882878
"That the domain of the sea is being extended over the land by the wearing away of its shores, is well known, but in these icy regions of Alaska, and even as far south as Vancouver Island, the coast rocks have been so short a time exposed to wave-action they are but little wasted as yet.","That the wearing away of its shores is extending over the land the domain of the sea , is well known , but in these icy regions of Alaska , and even as far south as Vancouver Island , the coast rocks have been so short a time exposed to wave - action they are but little wasted as yet . ",-0.017107685011321046,0.0535347070673986,-0.01649884438718028,0.040090488014111074
"The surface of the glacier was further characterized by dirt bands and the outcropping edges of the blue veins, showing the laminated structure of the ice.","dirt bands and the outcropping edges of the blue veins further characterized The surface of the glacier , showing the laminated structure of the ice . ",-0.020764738447169633,0.07856399321260452,-0.020762375240372496,0.058069944717757574
I was awakened in the morning by the rocking of my cabin and the beating of pine-burs on the roof.,the rocking of my cabin and the beating of pine - burs on the roof awakened in the morning me . ,0.02586236871652569,0.0007288339777811875,0.033872371287052734,-0.0067159429758097255
No perfect banner is ever hung on the Sierra peaks by a south wind.,a south wind ever hangs on the Sierra peaks No perfect banner . ,-0.09186228166157337,-0.06917357483349484,-0.03415487254219709,0.020957117496415434
"They naturally were affected most of all by the colors—the intense azure of the sky, the purplish grays of the granite, the red and browns of dry meadows, and the translucent purple and crimson of huckleberry bogs; the flaming yellow of aspen groves, the silvery flashing of the streams, and the bright green and blue of the glacier lakes.","the colors — the intense azure of the sky , the purplish grays of the granite , the red and browns of dry meadows , and the translucent purple and crimson of huckleberry bogs naturally affected most of all them ; the flaming yellow of aspen groves , the silvery flashing of the streams , and the bright green and blue of the glacier lakes . ",-0.0868017803899363,0.01395660045678093,-0.05120947842688074,0.020678467756779333
